"No.","Time","Source","Destination","Protocol","Length","Info"
"590","13.104271","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"593","13.125961","104.44.200.242","192.168.10.162","UDP","154","3480  >  35920 Len=112"
"594","13.134217","104.44.200.242","192.168.10.162","UDP","83","3480  >  35920 Len=41"
"595","13.139592","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"599","13.184844","104.44.200.242","192.168.10.162","UDP","155","3480  >  35920 Len=113"
"602","13.193364","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"606","13.243481","104.44.200.242","192.168.10.162","UDP","157","3480  >  35920 Len=115"
"607","13.253705","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"608","13.258907","104.44.200.242","192.168.10.162","UDP","86","3480  >  35920 Len=44"
"609","13.258907","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"610","13.286351","104.44.200.242","192.168.10.162","UDP","163","3480  >  35920 Len=121"
"614","13.323850","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"635","13.364341","104.44.200.242","192.168.10.162","UDP","169","3480  >  35920 Len=127"
"640","13.405258","104.44.200.242","192.168.10.162","UDP","110","3480  >  35920 Len=68"
"642","13.412253","104.44.200.242","192.168.10.162","UDP","126","3480  >  35920 Len=84"
"643","13.413451","104.44.200.242","192.168.10.162","UDP","105","3480  >  35920 Len=63"
"644","13.421707","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"647","13.443303","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"655","13.489422","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"656","13.489423","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
"657","13.489423","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"658","13.496459","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"659","13.496459","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"661","13.525298","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"663","13.537498","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"665","13.544536","104.44.200.242","192.168.10.162","UDP","155","3480  >  35920 Len=113"
"666","13.544536","104.44.200.242","192.168.10.162","UDP","171","3480  >  35920 Len=129"
"667","13.544537","104.44.200.242","192.168.10.162","UDP","95","3480  >  35920 Len=53"
"674","13.596693","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"675","13.596693","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"676","13.596693","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"678","13.624512","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"686","13.644310","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
"688","13.653668","104.44.200.242","192.168.10.162","UDP","80","3480  >  35920 Len=38"
"690","13.684697","104.44.200.242","192.168.10.162","UDP","1256","3480  >  35920 Len=1214"
"691","13.684698","104.44.200.242","192.168.10.162","UDP","1256","3480  >  35920 Len=1214"
"692","13.684701","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"693","13.684702","104.44.200.242","192.168.10.162","UDP","442","3480  >  35920 Len=400"
"694","13.684703","104.44.200.242","192.168.10.162","UDP","458","3480  >  35920 Len=416"
"695","13.684703","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"696","13.684730","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"697","13.685220","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"702","13.744253","104.44.200.242","192.168.10.162","UDP","112","3480  >  35920 Len=70"
"703","13.744335","104.44.200.242","192.168.10.162","UDP","105","3480  >  35920 Len=63"
"707","13.773441","104.44.200.242","192.168.10.162","UDP","96","3480  >  35920 Len=54"
"710","13.811303","104.44.200.242","192.168.10.162","UDP","95","3480  >  35920 Len=53"
"711","13.821602","104.44.200.242","192.168.10.162","UDP","93","3480  >  35920 Len=51"
"712","13.821603","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"713","13.821776","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"716","13.864308","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"717","13.864308","104.44.200.242","192.168.10.162","UDP","86","3480  >  35920 Len=44"
"718","13.864308","104.44.200.242","192.168.10.162","UDP","74","3480  >  35920 Len=32"
"720","13.871837","104.44.200.242","192.168.10.162","UDP","985","3480  >  35920 Len=943"
"721","13.871839","104.44.200.242","192.168.10.162","UDP","985","3480  >  35920 Len=943"
"722","13.874343","104.44.200.242","192.168.10.162","UDP","228","3480  >  35920 Len=186"
"723","13.876410","104.44.200.242","192.168.10.162","UDP","983","3480  >  35920 Len=941"
"724","13.883826","104.44.200.242","192.168.10.162","UDP","1081","3480  >  35920 Len=1039"
"725","13.883827","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"726","13.883828","104.44.200.242","192.168.10.162","UDP","204","3480  >  35920 Len=162"
"727","13.883828","104.44.200.242","192.168.10.162","UDP","107","3480  >  35920 Len=65"
"728","13.883829","104.44.200.242","192.168.10.162","UDP","104","3480  >  35920 Len=62"
"759","14.294221","104.44.200.242","192.168.10.162","UDP","1097","3480  >  35920 Len=1055"
"760","14.294222","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"761","14.294223","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"762","14.294224","104.44.200.242","192.168.10.162","UDP","1097","3480  >  35920 Len=1055"
"763","14.294225","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"767","14.360945","104.44.200.242","192.168.10.162","UDP","1097","3480  >  35920 Len=1055"
"768","14.360946","104.44.200.242","192.168.10.162","STUN","122","Binding Success Response XOR-MAPPED-ADDRESS: 88.201.137.108:1040"
"769","14.360946","104.44.200.242","192.168.10.162","UDP","145","3480  >  35920 Len=103"
"770","14.360946","104.44.200.242","192.168.10.162","UDP","229","3480  >  35920 Len=187"
"771","14.360946","104.44.200.242","192.168.10.162","UDP","111","3480  >  35920 Len=69"
"772","14.360946","104.44.200.242","192.168.10.162","UDP","245","3480  >  35920 Len=203"
"773","14.360948","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"774","14.360948","104.44.200.242","192.168.10.162","UDP","95","3480  >  35920 Len=53"
"775","14.360948","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"776","14.360948","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"777","14.360949","104.44.200.242","192.168.10.162","UDP","109","3480  >  35920 Len=67"
"778","14.360949","104.44.200.242","192.168.10.162","UDP","102","3480  >  35920 Len=60"
"779","14.360949","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"780","14.360950","104.44.200.242","192.168.10.162","UDP","228","3480  >  35920 Len=186"
"781","14.360950","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"782","14.360950","104.44.200.242","192.168.10.162","UDP","104","3480  >  35920 Len=62"
"783","14.360950","104.44.200.242","192.168.10.162","UDP","307","3480  >  35920 Len=265"
"784","14.360950","104.44.200.242","192.168.10.162","UDP","139","3480  >  35920 Len=97"
"785","14.360950","104.44.200.242","192.168.10.162","UDP","323","3480  >  35920 Len=281"
"786","14.360951","104.44.200.242","192.168.10.162","UDP","204","3480  >  35920 Len=162"
"787","14.360951","104.44.200.242","192.168.10.162","UDP","93","3480  >  35920 Len=51"
"788","14.360951","104.44.200.242","192.168.10.162","UDP","103","3480  >  35920 Len=61"
"789","14.360951","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"792","14.366303","104.44.200.242","192.168.10.162","UDP","161","3480  >  35920 Len=119"
"793","14.366545","104.44.200.242","192.168.10.162","UDP","104","3480  >  35920 Len=62"
"794","14.366545","104.44.200.242","192.168.10.162","UDP","105","3480  >  35920 Len=63"
"795","14.366545","104.44.200.242","192.168.10.162","UDP","101","3480  >  35920 Len=59"
"796","14.366545","104.44.200.242","192.168.10.162","UDP","624","3480  >  35920 Len=582"
"797","14.366546","104.44.200.242","192.168.10.162","UDP","247","3480  >  35920 Len=205"
"798","14.366546","104.44.200.242","192.168.10.162","UDP","640","3480  >  35920 Len=598"
"799","14.366547","104.44.200.242","192.168.10.162","UDP","97","3480  >  35920 Len=55"
"800","14.367412","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"801","14.367413","104.44.200.242","192.168.10.162","UDP","104","3480  >  35920 Len=62"
"802","14.367413","104.44.200.242","192.168.10.162","UDP","156","3480  >  35920 Len=114"
"803","14.367413","104.44.200.242","192.168.10.162","UDP","99","3480  >  35920 Len=57"
"804","14.368490","104.44.200.242","192.168.10.162","UDP","228","3480  >  35920 Len=186"
"805","14.369687","104.44.200.242","192.168.10.162","UDP","197","3480  >  35920 Len=155"
"806","14.371475","104.44.200.242","192.168.10.162","UDP","192","3480  >  35920 Len=150"
"807","14.371476","104.44.200.242","192.168.10.162","UDP","98","3480  >  35920 Len=56"
"808","14.371476","104.44.200.242","192.168.10.162","UDP","100","3480  >  35920 Len=58"
"809","14.371476","104.44.200.242","192.168.10.162","UDP","107","3480  >  35920 Len=65"
